Country,Sport,Year,Athletes,Gold,Silver,Bronze,Total_Medals,Events_Participated,GDP_Index,Population_Millions,Prev_Medals,Host,Medal_per_Athlete,Gold_Ratio,Participation_Rate,Medals_per_Million
Poland,Boxing,2024,28.0,0.0,0.0,0.0,0.0,26.0,0.786,734.8,1.0,0,0.0,0.0,1.0769,0.0
Finland,Shooting,2020,12.0,1.0,0.0,3.0,4.0,13.0,0.371,925.95,2.0,0,0.3333,0.25,0.9231,0.0043
Germany,Weightlifting,2020,48.0,1.0,3.0,,7.0,18.0,0.279,596.18,4.0,0,0.1458,0.1429,2.6667,0.0117
Kenya,Rowing,1996,24.0,2.0,2.0,2.0,6.0,23.0,,1095.43,3.0,0,0.25,0.3333,1.0435,0.0055
USA,Weightlifting,1992,40.0,0.0,0.0,0.0,0.0,36.0,,429.99,0.0,0,0.0,0.0,1.1111,0.0
Spain,Rowing,2012,60.0,0.0,1.0,0.0,1.0,30.0,0.354,63.39,3.0,0,0.0167,0.0,2.0,0.0158
Germany,Athletics,2004,55.0,0.0,0.0,0.0,0.0,29.0,0.6,567.81,0.0,0,0.0,0.0,1.8966,0.0
Spain,Shooting,1992,56.0,0.0,,,1.0,4.0,0.75,1240.79,0.0,0,0.0179,0.0,14.0,0.0008
Australia,Wrestling,2004,33.0,3.0,1.0,3.0,7.0,40.0,0.539,303.4,9.0,0,0.2121,0.4286,0.825,0.0231
China,Rowing,2000,56.0,0.0,1.0,0.0,1.0,36.0,0.818,974.9,0.0,0,0.0179,0.0,1.5556,0.001
Jamaica,Gymnastics,2020,54.0,4.0,3.0,4.0,11.0,36.0,0.342,977.46,12.0,0,0.2037,0.3636,1.5,0.0113
France,Athletics,2004,8.0,1.0,3.0,4.0,8.0,7.0,0.245,1116.21,9.0,0,1.0,0.125,1.1429,0.0072
Slovakia,Rowing,2012,21.0,3.0,2.0,1.0,6.0,48.0,0.416,58.53,3.0,0,0.2857,0.5,0.4375,0.1025
Japan,Weightlifting,2004,13.0,5.0,3.0,4.0,12.0,6.0,0.168,1220.18,11.0,0,0.9231,0.4167,2.1667,0.0098
Argentina,Boxing,2008,11.0,2.0,4.0,4.0,10.0,5.0,,724.81,12.0,0,0.9091,0.2,2.2,0.0138
Slovenia,Rowing,1992,8.0,0.0,1.0,1.0,2.0,28.0,0.352,826.42,3.0,0,0.25,0.0,0.2857,0.0024
Thailand,Gymnastics,2024,,1.0,1.0,3.0,5.0,48.0,0.387,658.41,2.0,0,,0.2,,0.0076
Estonia,Gymnastics,1996,50.0,2.0,5.0,5.0,12.0,41.0,0.329,1206.43,12.0,0,0.24,0.1667,1.2195,0.0099
India,Cycling,2008,19.0,2.0,3.0,2.0,,8.0,0.632,17.88,6.0,0,,,2.375,
Slovakia,Wrestling,2008,62.0,4.0,,3.0,,45.0,0.946,484.87,11.0,0,,,1.3778,
Nigeria,Swimming,2024,60.0,,,0.0,1.0,15.0,0.994,1020.73,0.0,0,0.0167,,4.0,0.001
Kenya,Boxing,2000,30.0,,1.0,0.0,1.0,41.0,0.246,918.93,0.0,0,0.0333,,0.7317,0.0011
Qatar,Gymnastics,2004,3.0,3.0,2.0,3.0,,34.0,0.535,453.19,10.0,0,,,0.0882,
Ukraine,Wrestling,1992,43.0,0.0,0.0,0.0,0.0,25.0,0.49,1267.43,0.0,0,0.0,0.0,1.72,0.0
Russia,Rowing,2020,13.0,2.0,3.0,3.0,8.0,8.0,0.701,867.67,10.0,0,0.6154,0.25,1.625,0.0092
Turkey,Weightlifting,2012,9.0,0.0,,0.0,1.0,17.0,0.458,376.91,2.0,0,0.1111,0.0,0.5294,0.0027
Czech Republic,Swimming,2000,47.0,0.0,0.0,0.0,0.0,48.0,0.642,1146.73,0.0,0,0.0,0.0,0.9792,0.0
Lithuania,Shooting,2016,14.0,3.0,4.0,2.0,9.0,2.0,0.905,254.63,8.0,0,0.6429,0.3333,7.0,0.0353
Czech Republic,Shooting,2004,25.0,3.0,5.0,4.0,12.0,8.0,0.972,1077.57,14.0,0,0.48,0.25,3.125,0.0111
Colombia,Rowing,2020,26.0,3.0,3.0,2.0,8.0,37.0,0.317,1114.81,6.0,0,0.3077,0.375,0.7027,0.0072
Egypt,Judo,2012,14.0,0.0,0.0,0.0,0.0,22.0,0.241,890.68,0.0,0,0.0,0.0,0.6364,0.0
Kazakhstan,Boxing,1992,1.0,4.0,0.0,,4.0,43.0,0.738,774.4,2.0,0,4.0,1.0,0.0233,0.0052
Jordan,Cycling,2000,24.0,5.0,3.0,4.0,12.0,34.0,,,14.0,0,0.5,0.4167,0.7059,
Trinidad,Gymnastics,2000,54.0,3.0,1.0,4.0,8.0,12.0,0.894,18.96,10.0,0,0.1481,0.375,4.5,0.4219
Greece,Swimming,2000,27.0,0.0,0.0,1.0,1.0,41.0,0.465,993.06,1.0,0,0.037,0.0,0.6585,0.001
Qatar,Boxing,2008,13.0,1.0,2.0,1.0,4.0,36.0,0.952,284.59,4.0,0,0.3077,0.25,0.3611,0.0141
Greece,Rowing,2008,8.0,4.0,1.0,0.0,5.0,39.0,0.616,849.32,4.0,0,0.625,0.8,0.2051,0.0059
Iran,Judo,2016,36.0,0.0,0.0,0.0,0.0,19.0,0.182,486.66,1.0,0,0.0,0.0,1.8947,0.0
Cuba,Athletics,2016,39.0,3.0,3.0,2.0,8.0,29.0,0.366,1035.23,,0,0.2051,0.375,1.3448,0.0077
Morocco,Gymnastics,2008,45.0,0.0,0.0,1.0,1.0,39.0,0.316,780.05,2.0,0,0.0222,0.0,1.1538,0.0013
Mongolia,Boxing,2020,9.0,1.0,,0.0,,41.0,0.244,766.94,0.0,0,,,0.2195,
Romania,Weightlifting,2020,24.0,3.0,,4.0,10.0,30.0,0.678,38.14,,0,0.4167,0.3,0.8,0.2622
Switzerland,Athletics,2020,32.0,,0.0,0.0,0.0,43.0,0.957,1375.32,0.0,0,0.0,,0.7442,0.0
Bulgaria,Shooting,2004,42.0,2.0,3.0,0.0,,49.0,0.557,948.66,6.0,0,,,0.8571,
Rwanda,Shooting,2020,22.0,0.0,1.0,1.0,2.0,25.0,0.988,215.72,1.0,0,0.0909,0.0,0.88,0.0093
Thailand,Weightlifting,2008,9.0,1.0,1.0,1.0,3.0,29.0,0.768,949.13,3.0,0,0.3333,0.3333,0.3103,0.0032
Bulgaria,Boxing,2012,13.0,2.0,1.0,3.0,,28.0,0.255,893.39,7.0,0,,,0.4643,
Costa Rica,Athletics,2008,26.0,4.0,2.0,4.0,10.0,8.0,0.574,414.28,7.0,0,0.3846,0.4,3.25,0.0241
Argentina,Boxing,2024,12.0,5.0,3.0,4.0,12.0,,0.911,1359.67,14.0,0,1.0,0.4167,,0.0088
Bulgaria,Rowing,2016,22.0,1.0,3.0,1.0,5.0,21.0,0.423,1126.41,4.0,0,0.2273,0.2,1.0476,0.0044
Malaysia,Swimming,1996,19.0,1.0,0.0,0.0,1.0,16.0,0.115,1326.76,0.0,0,0.0526,1.0,1.1875,0.0008
Malaysia,Boxing,2008,37.0,5.0,,3.0,12.0,12.0,0.38,1190.21,13.0,0,0.3243,0.4167,3.0833,0.0101
Bulgaria,Rowing,2000,21.0,2.0,1.0,,3.0,14.0,0.51,621.39,3.0,0,0.1429,0.6667,1.5,0.0048
Nigeria,Weightlifting,1996,28.0,1.0,1.0,0.0,2.0,34.0,0.221,571.78,2.0,0,0.0714,0.5,0.8235,0.0035
South Korea,Cycling,2012,29.0,0.0,2.0,1.0,3.0,36.0,0.427,,3.0,0,0.1034,0.0,0.8056,
Denmark,Shooting,2016,19.0,0.0,1.0,0.0,1.0,14.0,0.343,1067.65,0.0,0,0.0526,0.0,1.3571,0.0009
Argentina,Judo,2024,39.0,3.0,0.0,2.0,5.0,17.0,0.532,,6.0,0,0.1282,0.6,2.2941,
Hungary,Gymnastics,2008,31.0,4.0,3.0,1.0,8.0,46.0,0.665,526.53,8.0,0,0.2581,0.5,0.6739,0.0152
Italy,Swimming,2012,13.0,1.0,0.0,2.0,3.0,49.0,0.153,428.15,4.0,0,0.2308,0.3333,0.2653,0.007
Denmark,Wrestling,2008,26.0,1.0,1.0,3.0,5.0,48.0,0.742,13.96,5.0,0,0.1923,0.2,0.5417,0.3582
Jordan,Boxing,1992,27.0,2.0,3.0,1.0,6.0,35.0,0.394,1194.03,4.0,0,0.2222,0.3333,0.7714,0.005
Senegal,Judo,2012,54.0,,5.0,3.0,12.0,5.0,0.214,599.13,10.0,0,0.2222,,10.8,0.02
Egypt,Weightlifting,2012,49.0,,1.0,0.0,1.0,10.0,0.431,,0.0,0,0.0204,,4.9,
India,Cycling,2004,11.0,2.0,2.0,2.0,6.0,38.0,,1352.51,4.0,0,0.5455,0.3333,0.2895,0.0044
Brazil,Boxing,2024,18.0,0.0,1.0,1.0,2.0,41.0,0.356,820.5,,0,0.1111,0.0,0.439,0.0024
russia,Cycling,2004,51.0,3.0,3.0,3.0,9.0,,0.956,,9.0,0,0.1765,0.3333,,
Malaysia,Boxing,2016,34.0,2.0,5.0,3.0,10.0,12.0,0.966,329.67,,0,0.2941,0.2,2.8333,0.0303
Latvia,Cycling,2000,24.0,2.0,,0.0,2.0,40.0,0.298,1229.11,1.0,0,0.0833,1.0,0.6,0.0016
Qatar,Boxing,2020,8.0,3.0,4.0,1.0,8.0,10.0,,76.82,6.0,0,1.0,0.375,0.8,0.1041
Kazakhstan,Boxing,2016,2.0,3.0,3.0,,7.0,45.0,0.275,576.48,6.0,0,3.5,0.4286,0.0444,0.0121
Belgium,Cycling,2000,28.0,,2.0,5.0,9.0,43.0,0.125,346.07,11.0,0,0.3214,,0.6512,0.026
Romania,Gymnastics,2004,56.0,0.0,,1.0,1.0,22.0,0.642,599.3,1.0,0,0.0179,0.0,2.5455,0.0017
Ethiopia,Rowing,2020,34.0,3.0,1.0,1.0,5.0,,0.933,325.99,3.0,0,0.1471,0.6,,0.0153
Italy,Weightlifting,2012,15.0,,3.0,1.0,,36.0,,1010.45,6.0,0,,,0.4167,
Ukraine,Shooting,1992,53.0,1.0,2.0,3.0,6.0,15.0,0.413,27.49,7.0,0,0.1132,0.1667,3.5333,0.2183
Iran,Athletics,2024,45.0,5.0,3.0,,12.0,29.0,0.931,1061.34,12.0,0,0.2667,0.4167,1.5517,0.0113
Greece,Weightlifting,1992,7.0,3.0,2.0,1.0,6.0,32.0,0.47,,6.0,0,0.8571,0.5,0.2188,
Latvia,Swimming,1996,22.0,2.0,5.0,2.0,9.0,47.0,0.489,81.71,9.0,0,0.4091,0.2222,0.4681,0.1101
Greece,Shooting,2008,1.0,4.0,1.0,2.0,,31.0,0.998,1370.04,4.0,0,,,0.0323,
Sweden,Judo,2020,26.0,0.0,2.0,1.0,,35.0,0.19,1087.79,,0,,,0.7429,
Croatia,Gymnastics,2004,49.0,0.0,0.0,0.0,0.0,33.0,0.967,547.63,2.0,0,0.0,0.0,1.4848,0.0
Costa Rica,Rowing,2012,19.0,0.0,0.0,0.0,0.0,23.0,0.122,877.03,0.0,0,0.0,0.0,0.8261,0.0
Dominican Republic,Swimming,2000,32.0,2.0,1.0,3.0,6.0,36.0,0.21,1224.14,6.0,0,0.1875,0.3333,0.8889,0.0049
Estonia,Cycling,2004,47.0,4.0,2.0,5.0,11.0,16.0,0.444,1258.24,10.0,0,0.234,0.3636,2.9375,0.0087
Slovenia,Cycling,1996,7.0,1.0,0.0,0.0,1.0,4.0,0.106,580.52,0.0,0,0.1429,1.0,1.75,0.0017
Azerbaijan,Boxing,1992,14.0,0.0,0.0,,1.0,9.0,0.441,85.84,0.0,0,0.0714,0.0,1.5556,0.0116
Germany,Cycling,1996,29.0,2.0,3.0,0.0,5.0,15.0,0.522,1163.75,4.0,0,0.1724,0.4,1.9333,0.0043
Nepal,Shooting,2012,44.0,2.0,0.0,0.0,2.0,45.0,0.648,261.57,0.0,0,0.0455,1.0,0.9778,0.0076
Nigeria,Cycling,2012,22.0,2.0,5.0,3.0,10.0,,0.398,127.36,7.0,0,0.4545,0.2,,0.0785
South Korea,Shooting,2000,,2.0,5.0,2.0,9.0,8.0,0.138,1129.35,11.0,0,,0.2222,,0.008
Belarus,Rowing,2004,37.0,2.0,1.0,0.0,3.0,27.0,0.635,844.81,1.0,0,0.0811,0.6667,1.3704,0.0036
Italy,Wrestling,1992,55.0,2.0,3.0,1.0,6.0,39.0,0.164,97.85,6.0,0,0.1091,0.3333,1.4103,0.0613
Sweden,Boxing,2004,34.0,4.0,1.0,1.0,6.0,23.0,0.653,714.86,7.0,0,0.1765,0.6667,1.4783,0.0084
Trinidad,Weightlifting,2000,,3.0,3.0,0.0,6.0,38.0,0.452,216.0,8.0,0,,0.5,,0.0278
Mexico,Athletics,2004,,0.0,0.0,0.0,0.0,26.0,0.953,894.23,0.0,0,,0.0,,0.0
Fiji,Weightlifting,1996,36.0,0.0,1.0,2.0,3.0,20.0,0.955,651.87,3.0,0,0.0833,0.0,1.8,0.0046
Austria,Rowing,2012,54.0,1.0,2.0,2.0,5.0,,0.981,778.14,3.0,0,0.0926,0.2,,0.0064
South Korea,Swimming,2004,50.0,2.0,2.0,1.0,5.0,33.0,0.558,684.67,6.0,0,0.1,0.4,1.5152,0.0073
Egypt,Gymnastics,2020,49.0,0.0,0.0,0.0,0.0,49.0,0.711,1082.41,1.0,0,0.0,0.0,1.0,0.0
Kenya,Weightlifting,2016,48.0,4.0,2.0,2.0,8.0,29.0,0.93,24.81,7.0,0,0.1667,0.5,1.6552,0.3225
Poland,Gymnastics,2008,38.0,0.0,0.0,,0.0,35.0,0.837,508.98,0.0,0,0.0,0.0,1.0857,0.0
Belarus,Swimming,1996,38.0,1.0,0.0,1.0,2.0,40.0,0.94,372.43,0.0,0,0.0526,0.5,0.95,0.0054
Switzerland,Judo,2020,40.0,0.0,,0.0,0.0,20.0,0.657,818.64,,0,0.0,0.0,2.0,0.0
New Zealand,Swimming,2024,38.0,1.0,,,1.0,22.0,0.518,557.54,2.0,0,0.0263,1.0,1.7273,0.0018
Thailand,Swimming,1996,18.0,2.0,3.0,,8.0,38.0,0.571,381.23,10.0,0,0.4444,0.25,0.4737,0.021
Latvia,Cycling,2004,20.0,0.0,1.0,0.0,1.0,13.0,,168.65,0.0,0,0.05,0.0,1.5385,0.0059
Morocco,Judo,1992,53.0,1.0,2.0,2.0,,33.0,0.99,1284.67,2.0,0,,,1.6061,
Spain,Judo,1996,41.0,5.0,2.0,2.0,9.0,18.0,0.197,959.73,9.0,0,0.2195,0.5556,2.2778,0.0094
Sweden,Cycling,1996,4.0,0.0,0.0,0.0,0.0,,0.474,209.58,0.0,0,0.0,0.0,,0.0
Spain,Gymnastics,2000,45.0,1.0,0.0,1.0,2.0,47.0,0.457,756.09,3.0,0,0.0444,0.5,0.9574,0.0026
Czech Republic,Cycling,2000,,3.0,1.0,1.0,5.0,12.0,0.945,1226.65,6.0,0,,0.6,,0.0041
Jordan,Athletics,1992,40.0,5.0,5.0,3.0,13.0,18.0,0.89,1163.57,14.0,0,0.325,0.3846,2.2222,0.0112
India,Boxing,1992,45.0,0.0,1.0,,1.0,34.0,0.54,571.78,3.0,0,0.0222,0.0,1.3235,0.0017
Greece,Boxing,2020,9.0,1.0,3.0,1.0,5.0,37.0,0.156,882.66,3.0,0,0.5556,0.2,0.2432,0.0057
China,Shooting,2012,34.0,0.0,0.0,1.0,1.0,25.0,0.558,353.45,0.0,0,0.0294,0.0,1.36,0.0028
Bolivia,Weightlifting,2016,,2.0,,3.0,6.0,30.0,0.136,1379.63,7.0,0,,0.3333,,0.0043
Argentina,Shooting,2004,37.0,1.0,3.0,4.0,8.0,2.0,0.557,285.98,10.0,0,0.2162,0.125,18.5,0.028
India,Rowing,2008,18.0,2.0,0.0,1.0,3.0,5.0,0.547,58.66,2.0,0,0.1667,0.6667,3.6,0.0511
South Korea,Weightlifting,1992,62.0,,0.0,,2.0,,0.298,1141.92,0.0,0,0.0323,,,0.0018
Nigeria,Athletics,2020,14.0,1.0,0.0,3.0,4.0,44.0,0.146,1043.96,1.0,0,0.2857,0.25,0.3182,0.0038
South Africa,Judo,1992,20.0,1.0,1.0,0.0,2.0,46.0,0.64,1024.02,0.0,0,0.1,0.5,0.4348,0.002
Croatia,Gymnastics,2020,43.0,0.0,1.0,0.0,1.0,5.0,0.234,567.59,,0,0.0233,0.0,8.6,0.0018
Zimbabwe,Shooting,2012,14.0,2.0,5.0,2.0,9.0,45.0,0.187,505.03,6.0,0,0.6429,0.2222,0.3111,0.0178
Mexico,Boxing,2008,42.0,0.0,2.0,1.0,3.0,,0.882,,3.0,0,0.0714,0.0,,
Canada,Athletics,1996,,3.0,2.0,1.0,6.0,21.0,0.474,,3.0,0,,0.5,,
New Zealand,Judo,2004,25.0,3.0,5.0,4.0,12.0,27.0,0.768,803.87,13.0,0,0.48,0.25,0.9259,0.0149
Greece,Cycling,2000,33.0,3.0,1.0,3.0,7.0,32.0,,1063.14,9.0,0,0.2121,0.4286,1.0312,0.0066
Bulgaria,Swimming,2000,,,2.0,5.0,11.0,25.0,,294.44,13.0,0,,,,0.0374
Iran,Weightlifting,2008,29.0,2.0,1.0,0.0,3.0,34.0,0.594,562.09,0.0,0,0.1034,0.6667,0.8529,0.0053
Cuba,Judo,2012,56.0,,0.0,0.0,,44.0,0.629,359.89,0.0,0,,,1.2727,
Slovakia,Wrestling,2024,57.0,4.0,3.0,1.0,8.0,36.0,0.163,466.54,6.0,0,0.1404,0.5,1.5833,0.0171
Lebanon,Athletics,2020,34.0,3.0,1.0,1.0,5.0,1.0,0.223,772.31,5.0,0,0.1471,0.6,34.0,0.0065
USA,Cycling,2004,14.0,3.0,,2.0,7.0,29.0,0.456,983.07,,0,0.5,0.4286,0.4828,0.0071
Finland,Gymnastics,2008,12.0,3.0,5.0,2.0,10.0,46.0,0.683,,10.0,0,0.8333,0.3,0.2609,
UK,Wrestling,1992,29.0,0.0,0.0,1.0,1.0,15.0,0.676,599.37,3.0,0,0.0345,0.0,1.9333,0.0017
Slovakia,Shooting,2016,23.0,0.0,,2.0,3.0,47.0,0.998,49.6,2.0,0,0.1304,0.0,0.4894,0.0605
Serbia,Gymnastics,2024,48.0,4.0,1.0,,5.0,34.0,0.622,1009.08,7.0,0,0.1042,0.8,1.4118,0.005
France,Cycling,2020,12.0,3.0,2.0,4.0,9.0,21.0,0.853,1022.94,7.0,0,0.75,0.3333,0.5714,0.0088
Indonesia,Boxing,1996,60.0,0.0,0.0,0.0,0.0,16.0,0.111,,0.0,0,0.0,0.0,3.75,
Fiji,Swimming,2020,1.0,5.0,2.0,1.0,8.0,14.0,0.166,561.38,10.0,0,8.0,0.625,0.0714,0.0143
New Zealand,Athletics,2024,12.0,1.0,3.0,2.0,6.0,42.0,0.775,1278.6,4.0,0,0.5,0.1667,0.2857,0.0047
Germany,Gymnastics,2008,2.0,3.0,2.0,4.0,9.0,,0.72,245.75,6.0,0,4.5,0.3333,,0.0366
Cambodia,Gymnastics,2024,24.0,0.0,2.0,2.0,4.0,36.0,0.515,952.84,2.0,0,0.1667,0.0,0.6667,0.0042
Finland,Swimming,2012,41.0,5.0,1.0,2.0,8.0,45.0,0.407,416.61,8.0,0,0.1951,0.625,0.9111,0.0192
Panama,Cycling,2012,27.0,3.0,5.0,2.0,10.0,37.0,0.102,164.26,12.0,0,0.3704,0.3,0.7297,0.0609
Austria,Cycling,2000,22.0,2.0,0.0,1.0,3.0,5.0,0.548,323.12,5.0,0,0.1364,0.6667,4.4,0.0093
Italy,Weightlifting,2000,21.0,1.0,3.0,3.0,7.0,14.0,0.375,,6.0,0,0.3333,0.1429,1.5,
Chile,Rowing,2024,,0.0,0.0,0.0,,35.0,0.408,236.4,0.0,0,,,,
Germany,Wrestling,2024,27.0,1.0,1.0,0.0,2.0,47.0,0.431,905.11,1.0,0,0.0741,0.5,0.5745,0.0022
Jamaica,Judo,2012,3.0,3.0,1.0,3.0,7.0,29.0,0.411,364.2,6.0,0,2.3333,0.4286,0.1034,0.0192
Portugal,Cycling,1992,42.0,2.0,1.0,0.0,,42.0,0.681,1359.77,,0,,,1.0,
Sri Lanka,Wrestling,2008,43.0,1.0,2.0,1.0,,44.0,0.985,339.0,6.0,0,,,0.9773,
Chile,Shooting,2020,6.0,1.0,2.0,2.0,5.0,19.0,0.197,1381.39,2.0,0,0.8333,0.2,0.3158,0.0036
UK,Shooting,2012,19.0,2.0,3.0,3.0,8.0,46.0,0.471,443.53,10.0,1,0.4211,0.25,0.413,0.018
Bulgaria,Rowing,2020,20.0,1.0,0.0,1.0,2.0,47.0,0.991,281.71,0.0,0,0.1,0.5,0.4255,0.0071
South Africa,Wrestling,1996,36.0,4.0,5.0,3.0,12.0,26.0,0.384,78.98,13.0,0,0.3333,0.3333,1.3846,0.1519
Italy,Athletics,1992,,1.0,0.0,0.0,1.0,47.0,0.789,618.24,2.0,0,,1.0,,0.0016
Bolivia,Wrestling,2020,40.0,3.0,2.0,1.0,6.0,13.0,,,5.0,0,0.15,0.5,3.0769,
Indonesia,Rowing,2012,9.0,3.0,5.0,3.0,11.0,4.0,0.829,1284.88,9.0,0,1.2222,0.2727,2.25,0.0086
Canada,Shooting,2000,7.0,4.0,2.0,3.0,9.0,2.0,0.704,242.93,9.0,0,1.2857,0.4444,3.5,0.037
Brazil,Athletics,2004,54.0,,2.0,0.0,2.0,19.0,0.811,895.37,3.0,0,0.037,,2.8421,0.0022
Greece,Athletics,2008,,2.0,4.0,4.0,10.0,29.0,0.5,1081.51,,0,,0.2,,0.0092
Australia,Rowing,2020,37.0,3.0,0.0,0.0,3.0,10.0,0.355,1094.68,3.0,0,0.0811,1.0,3.7,0.0027
Fiji,Judo,2020,5.0,3.0,1.0,2.0,6.0,20.0,0.29,518.95,6.0,0,1.2,0.5,0.25,0.0116
Malaysia,Wrestling,2000,9.0,1.0,1.0,4.0,6.0,,0.583,1271.24,4.0,0,0.6667,0.1667,,0.0047
Kenya,Weightlifting,1992,48.0,3.0,2.0,2.0,7.0,23.0,0.689,440.06,6.0,0,0.1458,0.4286,2.087,0.0159
Mexico,Weightlifting,2024,25.0,2.0,5.0,2.0,9.0,36.0,0.175,260.63,,0,0.36,0.2222,0.6944,0.0345
Serbia,Judo,2004,6.0,-3.935774069259839,-3.744505282882273,1.0,1.0,2.0,0.246,144.14,0.0,0,0.1667,-3.9358,3.0,0.0069
Spain,Swimming,1992,31.0,0.0,1.0,0.0,1.0,6.0,0.419,98.12,0.0,0,0.0323,0.0,5.1667,0.0102
China,Wrestling,1996,47.0,4.0,1.0,4.0,9.0,30.0,0.205,519.44,9.0,0,0.1915,0.4444,1.5667,0.0173
Azerbaijan,Rowing,2008,47.0,3.0,4.0,,9.0,6.0,,1089.55,6.0,0,0.1915,0.3333,7.8333,0.0083
Dominican Republic,Shooting,1996,15.0,0.0,1.0,0.0,1.0,16.0,0.457,838.99,0.0,0,0.0667,0.0,0.9375,0.0012
Zimbabwe,Athletics,2016,16.0,3.0,3.0,1.0,7.0,19.0,0.952,,8.0,0,0.4375,0.4286,0.8421,
Costa Rica,Judo,2016,24.0,4.0,,4.0,11.0,20.0,0.899,572.02,11.0,0,0.4583,0.3636,1.2,0.0192
Kenya,Gymnastics,2000,33.0,,1.0,1.0,5.0,1.0,0.454,,6.0,0,0.1515,,33.0,
Lithuania,Cycling,1992,,1.0,1.0,,5.0,32.0,0.618,983.59,5.0,0,,0.2,,0.0051
Latvia,Swimming,1992,24.0,5.0,3.0,4.0,12.0,39.0,0.44,1194.98,13.0,0,0.5,0.4167,0.6154,0.01
India,Cycling,1992,18.0,,0.0,0.0,1.0,40.0,0.718,1039.98,0.0,0,0.0556,,0.45,0.001
Belgium,Gymnastics,2004,30.0,5.0,3.0,1.0,9.0,26.0,0.185,176.86,,0,0.3,0.5556,1.1538,0.0509
Costa Rica,Wrestling,2012,,0.0,1.0,0.0,,44.0,0.475,1273.76,2.0,0,,,,
Fiji,Gymnastics,2008,17.0,0.0,0.0,3.0,3.0,28.0,0.211,84.61,1.0,0,0.1765,0.0,0.6071,0.0355
Jamaica,Athletics,2016,29.0,3.0,2.0,2.0,7.0,,0.772,1201.01,6.0,0,0.2414,0.4286,,0.0058
Egypt,Wrestling,1996,55.0,2.0,4.0,2.0,8.0,19.0,0.658,1039.41,,0,0.1455,0.25,2.8947,0.0077
Kazakhstan,Judo,2012,49.0,3.0,3.0,2.0,,23.0,0.143,1328.85,,0,,,2.1304,
Fiji,Shooting,2012,31.0,1.0,0.0,1.0,2.0,16.0,0.613,985.36,3.0,0,0.0645,0.5,1.9375,0.002
Thailand,Shooting,2008,54.0,4.0,2.0,2.0,8.0,30.0,0.743,810.99,8.0,0,0.1481,0.5,1.8,0.0099
Bolivia,Rowing,2024,35.0,2.0,1.0,0.0,3.0,23.0,0.792,989.97,2.0,0,0.0857,0.6667,1.5217,0.003
Jordan,Gymnastics,2000,24.0,0.0,0.0,1.0,1.0,31.0,0.895,583.19,3.0,0,0.0417,0.0,0.7742,0.0017
India,Gymnastics,1996,3.0,0.0,2.0,2.0,4.0,20.0,0.387,1012.8,5.0,0,1.3333,0.0,0.15,0.0039
Qatar,Swimming,2024,55.0,0.0,,1.0,1.0,37.0,0.555,360.29,3.0,0,0.0182,0.0,1.4865,0.0028
Greece,Judo,2000,7.0,1.0,,0.0,1.0,,0.337,337.2,3.0,0,0.1429,1.0,,0.003
Serbia,Wrestling,2020.0,30.0,2.0,2.0,3.0,7.0,,0.772,359.7,8.0,0,0.2333,0.2857,,0.0195
Norway,Weightlifting,2008,34.0,2.0,3.0,3.0,8.0,16.0,0.887,789.85,6.0,0,0.2353,0.25,2.125,0.0101
Brazil,Swimming,2008,30.0,2.0,0.0,0.0,2.0,17.0,0.574,80.88,1.0,0,0.0667,1.0,1.7647,0.0247
Finland,Athletics,2012,31.0,0.0,0.0,0.0,0.0,2.0,0.167,,0.0,0,0.0,0.0,15.5,
Romania,Wrestling,2016,55.0,0.0,0.0,0.0,,40.0,0.519,550.74,0.0,0,,,1.375,
China,Cycling,2004,53.0,3.0,,3.0,7.0,,0.283,977.57,9.0,0,0.1321,0.4286,,0.0072
New Zealand,Boxing,2004,35.0,1.0,0.0,1.0,2.0,38.0,0.462,266.86,,0,0.0571,0.5,0.9211,0.0075
India,Rowing,2020.0,14.0,2.0,3.0,1.0,6.0,14.0,0.229,731.8,8.0,0,0.4286,0.3333,1.0,0.0082
Latvia,Athletics,2000,45.0,0.0,0.0,0.0,0.0,42.0,0.432,770.96,0.0,0,0.0,0.0,1.0714,0.0
Russia,Athletics,2008,41.0,5.0,3.0,3.0,11.0,37.0,0.138,26.01,13.0,0,0.2683,0.4545,1.1081,0.4229
South Korea,Swimming,2012,54.0,1.0,0.0,2.0,3.0,15.0,0.685,297.44,5.0,0,0.0556,0.3333,3.6,0.0101
Colombia,Wrestling,2020,29.0,4.0,5.0,3.0,12.0,15.0,0.506,1187.06,14.0,0,0.4138,0.3333,1.9333,0.0101
Bulgaria,Judo,2016,55.0,1.0,3.0,4.0,8.0,49.0,0.226,680.34,,0,0.1455,0.125,1.1224,0.0118
Iran,Swimming,2000,48.0,0.0,0.0,1.0,1.0,28.0,0.817,619.49,3.0,0,0.0208,0.0,1.7143,0.0016
Egypt,Swimming,2008,59.0,2.0,1.0,1.0,4.0,24.0,0.81,431.61,5.0,0,0.0678,0.5,2.4583,0.0093
Chile,Boxing,2000,7.0,,0.0,,2.0,29.0,0.887,1191.55,,0,0.2857,,0.2414,0.0017
Romania,Rowing,2008,47.0,1.0,1.0,0.0,2.0,16.0,0.883,831.65,,0,0.0426,0.5,2.9375,0.0024
Sweden,Swimming,2024,,2.0,4.0,1.0,7.0,31.0,0.981,1343.81,9.0,0,,0.2857,,0.0052
